Metric,Raw Sensor,EKF Estimate
X (m),0.06173802094566036,0.042286132561534996
Y (m),0.017032250217130035,0.01784402902524853
2D (m),0.06404436569867582,0.04589691034117245
Yaw (rad),0.024151180161602146,0.024402833070597502
