time,gt_x,gt_y,gt_theta,ekf_x,ekf_y,ekf_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,gps_x,gps_y,imu_theta
0.250,-0.000000,0.000000,-0.000000,-0.050447,0.010374,-0.000000,0.05009980,0.05009980,0.00047690,0.000000,0.000000,-0.000000
0.252,-0.000000,0.000000,-0.000000,-0.050447,0.010374,-0.000000,0.05009980,0.05009980,0.00032291,0.000000,0.000000,-0.000000
0.256,-0.000000,0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.04009980,0.04009980,0.00032291,0.000000,0.000000,-0.000000
0.257,-0.000000,0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.04009980,0.04009980,0.00024409,0.000000,0.000000,-0.000000
0.258,-0.000000,0.000000,-0.000000,-0.050447,0.010374,-0.000000,0.05009980,0.05009980,0.00024409,0.000000,0.000000,-0.000000
0.260,-0.000000,0.000000,-0.000000,-0.021725,0.004344,-0.000000,0.00009980,0.00009980,0.00024409,0.028844,-0.006062,-0.000000
0.261,-0.000000,0.000000,-0.000000,-0.018994,0.001312,-0.000000,0.04009980,0.04009980,0.00019620,0.028844,-0.006062,-0.000000
0.262,-0.000000,0.000000,-0.000000,0.009713,-0.004716,-0.000000,0.00009975,0.00009975,0.00019620,0.028844,-0.006062,-0.000000
0.265,-0.000000,0.000000,-0.000000,-0.021725,0.004344,-0.000000,0.01009980,0.01009980,0.00091106,0.028844,-0.006062,-0.000000
0.266,-0.000000,0.000000,-0.000000,0.009713,-0.004716,-0.000000,0.01009975,0.01009975,0.00091068,0.028844,-0.006062,-0.000000
0.302,-0.000000,0.000000,-0.000000,0.009713,-0.004716,-0.000000,0.01009975,0.01009975,0.00047663,0.028844,-0.006062,-0.000000
0.305,-0.000000,0.000000,-0.000000,-0.021725,0.004344,-0.000000,0.01009980,0.01009980,0.00047673,0.028844,-0.006062,-0.000000
0.337,-0.000000,0.000000,0.000000,0.009713,-0.004716,-0.000000,0.01009975,0.01009975,0.00032278,0.028844,-0.006062,-0.000000
0.339,-0.000000,0.000000,0.000000,-0.021725,0.004344,-0.000000,0.01009980,0.01009980,0.00032283,0.028844,-0.006062,-0.000000
0.343,-0.000000,0.000000,0.000000,-0.021725,0.004344,-0.000000,0.01009980,0.01009980,0.00024404,0.028844,-0.006062,-0.000000
0.364,-0.000000,0.000000,0.000000,0.009713,-0.004716,-0.000000,0.02009975,0.02009975,0.00091168,0.028844,-0.006062,-0.000000
0.368,-0.000000,0.000000,0.000000,0.009713,-0.004716,-0.000000,0.02009975,0.02009975,0.00047690,0.028844,-0.006062,-0.000000
0.372,-0.000000,0.000000,0.000000,-0.021725,0.004344,-0.000000,0.02009980,0.02009980,0.00091106,0.028844,-0.006062,-0.000000
