Metric,Raw Sensor,EKF Estimate
X (m),0.09199720664672377,0.07754268979984023
Y (m),0.17734352007361537,0.18175686523691664
2D (m),0.19978541023533428,0.1976067478659191
Yaw (rad),0.09068225268283095,0.09065210114399386
