Metric,Raw Sensor,EKF Estimate
X (m),0.590295628722711,0.5554464334525616
Y (m),0.6417245863294209,0.6631354753190871
2D (m),0.8719285372029104,0.865025663816885
Yaw (rad),0.002330377731371747,0.002730054125826524
