time,gt_x,gt_y,gt_theta,ekf_x,ekf_y,ekf_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,gps_x,gps_y,imu_theta
0.272,-0.000000,0.000000,0.000000,-0.077619,0.960014,-0.000000,0.40901700,0.40901700,0.00313392,0.835767,-0.170304,-0.000000
0.285,-0.000000,0.000000,0.000000,-0.077619,0.960014,-0.000000,0.40901700,0.40901700,0.00238613,0.835767,-0.170304,-0.000000
0.289,-0.000000,0.000000,0.000000,-0.077619,0.960014,-0.000000,0.50901700,0.50901700,0.00839708,0.835767,-0.170304,-0.000000
0.303,-0.000000,0.000000,0.000000,-0.077619,0.960014,-0.000000,0.50901700,0.50901700,0.00456435,0.835767,-0.170304,-0.000000
0.307,-0.000000,0.000000,0.000000,-0.077619,0.960014,-0.000000,0.50901700,0.50901700,0.00313392,0.835767,-0.170304,-0.000000
0.320,-0.000000,0.000000,0.000000,-0.077619,0.960014,-0.000000,0.50901700,0.50901700,0.00238613,0.835767,-0.170304,-0.000000
0.325,-0.000000,0.000000,0.000000,-0.077619,0.960014,-0.000000,0.60901700,0.60901700,0.00839708,0.835767,-0.170304,-0.000000
0.339,-0.000000,0.000000,0.000000,-0.077619,0.960014,-0.000000,0.60901700,0.60901700,0.00456435,0.835767,-0.170304,-0.000000
0.351,-0.000000,0.000000,0.000000,-0.077619,0.960014,-0.000000,0.60901700,0.60901700,0.00313392,0.835767,-0.170304,-0.000000
0.356,-0.000000,0.000000,0.000000,-0.077619,0.960014,-0.000000,0.60901700,0.60901700,0.00238613,0.835767,-0.170304,-0.000000
0.369,-0.000000,0.000000,0.000000,-0.077619,0.960014,-0.000000,0.70901700,0.70901700,0.00839708,0.835767,-0.170304,-0.000000
0.374,-0.000000,0.000000,0.000000,-0.077619,0.960014,-0.000000,0.70901700,0.70901700,0.00456435,0.835767,-0.170304,-0.000000
0.388,-0.000000,0.000000,0.000000,-0.077619,0.960014,-0.000000,0.70901700,0.70901700,0.00313392,0.835767,-0.170304,-0.000000
0.400,-0.000000,0.000000,0.000000,-0.077619,0.960014,-0.000000,0.70901700,0.70901700,0.00238613,0.835767,-0.170304,-0.000000
0.406,-0.000000,0.000000,0.000000,-0.219986,0.500599,-0.000000,0.30901699,0.30901699,0.05238613,0.270245,-0.768596,-0.000000
0.409,-0.000000,0.000000,0.000000,-0.219986,0.500599,-0.000000,0.30901699,0.30901699,0.00839708,0.270245,-0.768596,-0.000000
0.412,-0.000000,0.000000,0.000000,-0.219986,0.500599,-0.000000,0.30901699,0.30901699,0.00456435,0.270245,-0.768596,-0.000000
0.430,-0.000000,0.000000,0.000000,-0.219986,0.500599,-0.000000,0.30901699,0.30901699,0.00313392,0.270245,-0.768596,-0.000000
0.439,-0.000000,0.000000,0.000000,-0.219986,0.500599,-0.000000,0.30901699,0.30901699,0.00238613,0.270245,-0.768596,-0.000000
0.449,-0.000000,0.000000,0.000000,-0.219986,0.500599,-0.000000,0.40901699,0.40901699,0.00839708,0.270245,-0.768596,-0.000000
0.462,-0.000000,0.000000,0.000000,-0.219986,0.500599,-0.000000,0.40901699,0.40901699,0.00456435,0.270245,-0.768596,-0.000000
0.468,-0.000000,0.000000,0.000000,-0.219986,0.500599,-0.000000,0.40901699,0.40901699,0.00313392,0.270245,-0.768596,-0.000000
0.481,-0.000000,0.000000,0.000000,-0.219986,0.500599,-0.000000,0.40901699,0.40901699,0.00238613,0.270245,-0.768596,-0.000000
0.485,-0.000000,0.000000,0.000000,-0.219986,0.500599,-0.000000,0.50901699,0.50901699,0.00839708,0.270245,-0.768596,-0.000000
0.500,-0.000000,0.000000,0.000000,-0.219986,0.500599,-0.000000,0.50901699,0.50901699,0.00456435,0.270245,-0.768596,-0.000000
0.510,-0.000000,0.000000,0.000000,-0.219986,0.500599,-0.000000,0.50901699,0.50901699,0.00313392,0.270245,-0.768596,-0.000000
0.515,-0.000000,0.000000,0.000000,-0.219986,0.500599,-0.000000,0.50901699,0.50901699,0.00238613,0.270245,-0.768596,-0.000000
0.520,-0.000000,0.000000,0.000000,-0.219986,0.500599,-0.000000,0.60901699,0.60901699,0.00839708,0.270245,-0.768596,-0.000000
0.532,-0.000000,0.000000,0.000000,-0.219986,0.500599,-0.000000,0.60901699,0.60901699,0.00456435,0.270245,-0.768596,-0.000000
0.547,0.000000,-0.000000,-0.000000,-0.219986,0.500599,-0.000000,0.60901699,0.60901699,0.00313392,0.270245,-0.768596,-0.000000
0.552,0.000000,-0.000000,-0.000000,-0.219986,0.500599,-0.000000,0.60901699,0.60901699,0.00238613,0.270245,-0.768596,-0.000000
0.564,0.000000,-0.000000,-0.000000,-0.219986,0.500599,-0.000000,0.70901699,0.70901699,0.00839708,0.270245,-0.768596,-0.000000
0.578,0.000000,-0.000000,-0.000000,-0.219986,0.500599,-0.000000,0.70901699,0.70901699,0.00456435,0.270245,-0.768596,-0.000000
0.584,0.000000,-0.000000,-0.000000,-0.219986,0.500599,-0.000000,0.70901699,0.70901699,0.00313392,0.270245,-0.768596,-0.000000
0.594,0.000000,-0.000000,-0.000000,-0.219986,0.500599,-0.000000,0.70901699,0.70901699,0.00238613,0.270245,-0.768596,-0.000000
0.606,0.000000,-0.000000,-0.000000,-0.219986,0.500599,-0.000000,0.70901699,0.70901699,0.00192645,-0.296101,-0.571295,-0.000000
0.612,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.29322044,0.29322044,0.00192645,-0.296101,-0.571295,-0.000000
0.615,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.39322044,0.39322044,0.00838518,-0.296101,-0.571295,-0.000000
0.622,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.39322044,0.39322044,0.00456084,-0.296101,-0.571295,-0.000000
0.634,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.39322044,0.39322044,0.00313226,-0.296101,-0.571295,-0.000000
0.647,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.49322044,0.49322044,0.00841602,-0.296101,-0.571295,-0.000000
0.652,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.49322044,0.49322044,0.00456995,-0.296101,-0.571295,-0.000000
0.665,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.49322044,0.49322044,0.00313656,-0.296101,-0.571295,-0.000000
0.677,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.49322044,0.49322044,0.00238766,-0.296101,-0.571295,-0.000000
0.682,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.59322044,0.59322044,0.00839712,-0.296101,-0.571295,-0.000000
0.697,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.59322044,0.59322044,0.00456437,-0.296101,-0.571295,-0.000000
0.711,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.59322044,0.59322044,0.00313393,-0.296101,-0.571295,-0.000000
0.721,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.59322044,0.59322044,0.00238613,-0.296101,-0.571295,-0.000000
0.727,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.69322044,0.69322044,0.00839708,-0.296101,-0.571295,-0.000000
0.741,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.69322044,0.69322044,0.00456435,-0.296101,-0.571295,-0.000000
0.744,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.69322044,0.69322044,0.00313392,-0.296101,-0.571295,-0.000000
0.759,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.69322044,0.69322044,0.00238613,-0.296101,-0.571295,-0.000000
0.770,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.79322044,0.79322044,0.00839708,-0.296101,-0.571295,-0.000000
0.778,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.79322044,0.79322044,0.00456435,-0.296101,-0.571295,-0.000000
0.794,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.79322044,0.79322044,0.00313392,-0.296101,-0.571295,-0.000000
0.804,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.79322044,0.79322044,0.00238613,-0.296101,-0.571295,-0.000000
0.811,0.000000,-0.000000,-0.000000,-0.603714,0.449794,-0.000000,0.89322044,0.89322044,0.00839708,0.364629,-0.448677,-0.000000
0.812,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.32055962,0.32055962,0.00839708,0.364629,-0.448677,-0.000000
0.825,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.32055962,0.32055962,0.00456435,0.364629,-0.448677,-0.000000
0.838,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.32055962,0.32055962,0.00313392,0.364629,-0.448677,-0.000000
0.842,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.32055962,0.32055962,0.00238613,0.364629,-0.448677,-0.000000
0.856,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.42055962,0.42055962,0.00839708,0.364629,-0.448677,-0.000000
0.860,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.42055962,0.42055962,0.00456435,0.364629,-0.448677,-0.000000
0.873,0.000000,-0.000000,-0.000000,-0.353598,0.505437,-0.000000,0.42055962,0.42055962,0.00313392,0.364629,-0.448677,-0.000000
